no;period;age;sampling_weight;german_citizenship;residence_region;household_size;household_income;mainTrip_duration;mainTrip_distance
48;1991;53;0.57;NA;Former West Germany;1 person;1466;20-22 days;183.7680339
49;2009;37;2.3;NA;Former West Germany;3 persons;3674;6-8 days;1862.380395
50;1997;49;1.007;NA;Former West Germany;3 persons;3308;30+ days;2525.369871
51;2010;67;0.39;yes;Former East Germany;1 person;981;5 days;201.0340788
52;2014;61;0.52;yes;Former East Germany;1 person;393;NA;NA
53;1998;62;1.03;NA;Former West Germany;1 person;2559;30+ days;157.7178897
54;1980;43;1;NA;NA;5+ persons;3677;23-26 days;183.7680339
55;2010;49;0.42;yes;Former West Germany;1 person;2103;6-8 days;208.3009758
56;2012;39;0.75;yes;Former West Germany;4 persons;3121;13-15 days;801.3292216
57;2014;45;1.8;yes;Former West Germany;3 persons;3409;6-8 days;150
58;1998;48;0.98;NA;Former West Germany;2 persons;2900;20-22 days;566.8174128
59;1996;67;1.1767;NA;Former West Germany;2 persons;3004;30+ days;501.3320946
60;2017;58;0.54;yes;Former East Germany;2 persons;2703;20-22 days;817.0544553
61;2016;55;0.68;yes;Former West Germany;2 persons;3919;5 days;196.9422405
62;1972;50;NA;NA;NA;2 persons;1174;NA;NA
63;2005;43;0.3597;NA;Former East Germany;3 persons;2577;NA;NA
64;1998;45;0.29;NA;Former West Germany;3 persons;2218;20-22 days;236.9564795
65;2014;75;0.99;yes;Former West Germany;2 persons;4720;20-22 days;2537.985167
66;1997;48;1.014;NA;Former West Germany;2 persons;3831;16-19 days;627.1417705
67;1974;57;0.81;NA;NA;2 persons;1644;NA;NA
68;2003;69;0.771;NA;Former West Germany;1 person;1410;NA;NA
69;2010;57;0.82;yes;Former West Germany;2 persons;2103;13-15 days;6329.533907
70;2000;38;0.711;NA;Former West Germany;1 person;2856;13-15 days;689.0881244
71;2004;40;0.542;NA;Former West Germany;4 persons;2945;NA;NA
72;2012;39;1.22;yes;Former West Germany;1 person;4071;30+ days;8123.141154
73;2015;28;0.76;no;Former West Germany;1 person;1701;13-15 days;1658.101316
74;1992;62;0.36;NA;Former East Germany;1 person;1386;9-12 days;1785.805229
75;1982;50;3.17;NA;NA;4 persons;2763;NA;NA
76;1999;18;1.059;NA;Former West Germany;3 persons;3740;27-29 days;2176.565769
77;1995;40;1.18;NA;Former East Germany;4 persons;2691;NA;NA
78;2012;48;3.24;yes;Former West Germany;3 persons;4071;9-12 days;2537.395442
79;1979;24;1.18;NA;NA;2 persons;2832;30+ days;681.9125351
80;2009;78;0.84;NA;Former East Germany;2 persons;2403;30+ days;265.2977352
81;1979;53;0.92;NA;NA;2 persons;1640;20-22 days;393.382901
82;1997;22;0.689;NA;Former West Germany;1 person;1828;20-22 days;2176.565769
83;1997;48;0.654;NA;Former West Germany;1 person;2002;9-12 days;2237.88242
84;1979;70;0.36;NA;NA;1 person;1640;13-15 days;1840.842726
85;2005;64;0.8867;NA;Former West Germany;1 person;1364;9-12 days;797.6021922
86;1974;65;1.6;NA;NA;2 persons;4018;20-22 days;812.6588947
87;2010;46;0.72;yes;Former West Germany;1 person;981;NA;NA
88;2007;62;0.9465;NA;Former West Germany;1 person;1032;NA;NA
89;2007;27;0.5372;NA;Former West Germany;3 persons;1917;16-19 days;8018.124112
90;2005;38;0.8393;NA;Former West Germany;2 persons;3184;20-22 days;9943.876326
91;1989;69;0.554;NA;NA;2 persons;1109;20-22 days;183.7680339
92;2002;42;0.7;NA;Former West Germany;4 persons;2377;NA;NA
93;2018;46;0.32;yes;Former West Germany;2 persons;2158;6-8 days;196.9422405
94;1997;34;0.72;NA;Former East Germany;1 person;784;NA;NA
95;2007;46;0.5229;NA;Former West Germany;1 person;1032;NA;NA
96;1992;58;1.289;NA;Former West Germany;2 persons;2971;NA;NA
97;2004;77;1.191;NA;Former East Germany;2 persons;2325;9-12 days;415.1992854
98;1991;52;0.894;NA;Former West Germany;2 persons;2304;NA;NA
99;2005;14;1.1141;NA;Former West Germany;3 persons;3487;6-8 days;337.7000277
100;2007;46;0.6168;NA;Former West Germany;2 persons;3097;13-15 days;2955.247694
101;2014;65;0.3;yes;Former West Germany;1 person;1442;13-15 days;1987.066695
102;2004;78;1.132;NA;Former West Germany;2 persons;2635;27-29 days;251.7982971
103;1982;56;0.71;NA;NA;3 persons;2386;NA;NA
104;2015;30;0.88;yes;Former East Germany;1 person;1178;NA;NA
105;2015;51;0.62;yes;Former West Germany;5+ persons;3010;6-8 days;186.3672482
106;2015;26;0.99;yes;Former West Germany;2 persons;3402;9-12 days;8123.141154
107;2008;30;1.4285;NA;Former West Germany;2 persons;1572;9-12 days;228.2539869
108;2005;73;0.6649;NA;Former East Germany;1 person;152;6-8 days;294.5536906
109;1985;70;0.475;NA;NA;1 person;1033;NA;NA
110;2002;64;1.17;NA;Former West Germany;2 persons;2377;20-22 days;228.2539869
111;1994;50;1.551;NA;Former West Germany;3 persons;5881;27-29 days;8018.124112
112;1983;54;1.002;NA;NA;2 persons;2643;27-29 days;393.382901
113;1984;48;3.602;NA;NA;5+ persons;8421;NA;NA
114;1972;37;NA;NA;NA;3 persons;3145;9-12 days;328.1199988
115;1990;45;0.394;NA;Former East Germany;4 persons;2367;5 days;265.2977352
116;2013;39;0.43;yes;Former West Germany;2 persons;931;13-15 days;2176.565769
117;1999;73;1.164;NA;Former West Germany;1 person;1275;6-8 days;242.2967157
118;1988;69;0.44;NA;NA;1 person;1130;9-12 days;812.6588947
119;2007;62;0.6985;NA;Former West Germany;2 persons;3391;6-8 days;186.3672482
120;2011;63;1.63;yes;Former West Germany;3 persons;3598;6-8 days;1764.629842
121;1986;30;0.437;NA;NA;2 persons;1920;27-29 days;965.2835218
122;2006;46;1.0174;NA;Former West Germany;4 persons;2542;9-12 days;816.6255157
123;1977;33;0.54;NA;NA;1 person;1739;13-15 days;693.169574
124;1988;77;1.275;NA;NA;1 person;1130;NA;NA
125;2007;43;0.5892;NA;Former West Germany;2 persons;2212;6-8 days;178.2125478
126;2012;32;3.56;yes;Former West Germany;3 persons;2035;6-8 days;2493.712368
127;1994;36;0.643;NA;Former East Germany;1 person;368;NA;NA
128;2004;44;0.499;NA;Former West Germany;2 persons;5579;13-15 days;1861.69984
129;2010;74;1.73;yes;Former East Germany;2 persons;2664;13-15 days;2133.927489
130;1995;30;0.305;NA;Former West Germany;2 persons;1884;NA;NA
131;2016;50;0.98;no;Former West Germany;1 person;653;13-15 days;704.8890301
132;1996;46;1.075;NA;Former East Germany;2 persons;2297;13-15 days;1886.613832
133;1984;25;0.593;NA;NA;1 person;585;13-15 days;596.0116628
134;1988;53;0.921;NA;NA;2 persons;3840;NA;NA
135;1999;58;1.124;NA;Former East Germany;2 persons;1445;NA;NA
136;2018;70;1.38;yes;Former East Germany;2 persons;2158;13-15 days;440.8918423
137;2006;68;0.5662;NA;Former West Germany;1 person;1944;13-15 days;1669.006561
138;1983;44;1.281;NA;NA;4 persons;2042;9-12 days;NA
139;1992;60;1.556;NA;Former West Germany;2 persons;2971;20-22 days;337.7000277
140;2015;41;1.29;yes;Former West Germany;3 persons;3402;13-15 days;1742.875013
141;2015;62;0.72;yes;Former East Germany;2 persons;1439;NA;NA
142;2016;43;1.4;yes;Former East Germany;3 persons;4703;6-8 days;272.9243813
143;2005;30;0.6526;NA;Former West Germany;1 person;1061;30+ days;3004.266422
144;2008;28;0.9816;NA;Former West Germany;2 persons;2430;NA;NA
145;1976;27;1.3;NA;NA;3 persons;2786;20-22 days;719.5371174
146;1999;30;0.754;NA;Former West Germany;1 person;340;NA;NA
147;2007;63;0.9175;NA;Former East Germany;2 persons;2212;6-8 days;1135.679462
148;1973;39;NA;NA;NA;4 persons;2168;27-29 days;168.2412991
149;1986;78;0.672;NA;NA;1 person;565;NA;NA
150;1986;60;0.308;NA;NA;1 person;1017;NA;NA
151;1995;33;0.877;NA;Former East Germany;3 persons;2691;13-15 days;882.0730614
152;2005;67;0.2976;NA;Former East Germany;1 person;1971;23-26 days;8084.405938
153;2012;64;1.62;no;Former West Germany;3 persons;4885;20-22 days;2176.565769
154;2001;63;1.42;NA;Former West Germany;2 persons;2141;20-22 days;693.169574
155;2018;49;2.18;yes;Former West Germany;4 persons;7617;9-12 days;965.2835218
156;2008;47;1.3438;NA;Former East Germany;4 persons;4288;20-22 days;150.045148
157;2011;57;0.91;yes;Former East Germany;2 persons;2629;13-15 days;2025.543006
158;1982;27;0.91;NA;NA;1 person;1633;13-15 days;196.9422405
159;2012;38;0.41;yes;Former West Germany;3 persons;1493;9-12 days;183.7680339
160;2006;52;0.4411;NA;Former West Germany;1 person;2243;20-22 days;1658.395853
161;2006;68;1.4806;NA;Former West Germany;2 persons;2243;30+ days;347.3285266
162;2009;17;1.47;NA;Former West Germany;5+ persons;3250;NA;NA
163;1987;49;0.82;NA;NA;2 persons;2054;20-22 days;591.5491159
164;1990;46;0.708;NA;Former East Germany;4 persons;1506;9-12 days;337.9541515
165;1986;42;1.393;NA;NA;4 persons;1920;13-15 days;1658.101316
166;2011;42;1.51;yes;Former West Germany;2 persons;4151;13-15 days;7856.265477
167;1994;40;0.524;NA;Former West Germany;1 person;3492;20-22 days;990.944767
168;2003;27;0.909;NA;Former West Germany;1 person;1097;6-8 days;274.9958928
169;1988;40;0.548;NA;NA;5+ persons;3389;13-15 days;356.8372935
170;1997;52;0.919;NA;Former West Germany;2 persons;1828;9-12 days;965.2835218
171;1971;28;NA;NA;NA;5+ persons;2431;NA;NA
172;1999;70;0.936;NA;Former East Germany;2 persons;1955;NA;NA
173;1994;32;2.104;NA;Former West Germany;4 persons;3492;13-15 days;2098.898801
174;1996;32;0.8078;NA;Former West Germany;2 persons;5655;13-15 days;1658.101316
175;2007;60;0.9522;NA;Former West Germany;1 person;1032;6-8 days;178.2125478
176;2004;41;0.34;NA;Former West Germany;3 persons;2015;13-15 days;831.8605589
177;2009;23;0.79;NA;Former East Germany;1 person;1837;13-15 days;949.6466032
178;2017;56;0.41;yes;Former East Germany;1 person;2445;6-8 days;926.9731537
179;1974;28;0.87;NA;NA;1 person;1315;13-15 days;1011.490584
180;2016;55;2.52;yes;Former West Germany;5+ persons;3919;6-8 days;150
181;1978;75;0.83;NA;NA;1 person;306;NA;NA
182;2012;23;1.84;yes;Former West Germany;5+ persons;3121;30+ days;1175.692852
183;2007;62;1.4213;NA;Former East Germany;2 persons;1622;NA;NA
184;2012;53;1.21;yes;Former West Germany;3 persons;2578;6-8 days;1512.359232
185;2006;42;0.6252;NA;Former West Germany;3 persons;1047;13-15 days;1658.101316
186;1982;23;0.9;NA;NA;2 persons;2386;13-15 days;1742.875013
187;2017;63;0.46;yes;Former East Germany;2 persons;2703;13-15 days;150.045148
188;1991;26;1.277;NA;Former East Germany;3 persons;1885;NA;NA
189;2012;30;1.36;yes;Former West Germany;4 persons;2035;6-8 days;1941.04595
190;1996;61;0.9597;NA;Former West Germany;1 person;2297;27-29 days;1520.338286
191;1998;54;0.98;NA;Former West Germany;2 persons;2559;20-22 days;1676.688589
192;1973;20;NA;NA;NA;3 persons;2957;13-15 days;1676.688589
193;1997;73;2.26;NA;Former West Germany;2 persons;2960;NA;NA
194;1972;32;NA;NA;NA;2 persons;3145;20-22 days;293.8606802
195;1982;38;0.15;NA;NA;4 persons;2135;NA;NA
196;1997;19;1.058;NA;Former West Germany;2 persons;2612;6-8 days;719.5371174
197;2016;77;1.22;yes;Former East Germany;2 persons;2221;NA;NA
198;1999;31;0.772;NA;Former West Germany;4 persons;2550;23-26 days;150.045148
199;1993;62;1.586;NA;Former West Germany;2 persons;1054;NA;NA
200;2015;50;0.75;yes;Former West Germany;1 person;2486;20-22 days;10023.20637
201;1972;65;NA;NA;NA;2 persons;2306;NA;NA
202;2013;58;1.53;yes;Former West Germany;2 persons;1729;9-12 days;100
203;2016;52;0.61;yes;Former East Germany;4 persons;2743;9-12 days;2025.543006
204;2018;66;0.78;yes;Former West Germany;2 persons;1904;13-15 days;1299.113792
205;1993;53;2.301;NA;Former West Germany;3 persons;1821;NA;NA
206;1974;39;0.98;NA;NA;4 persons;2740;NA;NA
207;1982;31;0.51;NA;NA;1 person;1633;NA;NA
208;1972;65;NA;NA;NA;2 persons;3145;20-22 days;627.9537164
209;2014;49;2.21;yes;Former West Germany;5+ persons;2753;NA;NA
210;1995;67;1.09;NA;Former West Germany;2 persons;2063;13-15 days;178.2125478
211;1976;22;1.48;NA;NA;2 persons;3606;16-19 days;779.8075718
212;1998;30;0.67;NA;Former West Germany;1 person;1621;13-15 days;1198.411518
213;2002;51;1;NA;Former West Germany;2 persons;1743;9-12 days;68.32616479
214;1995;51;1.7;NA;Former West Germany;3 persons;2691;NA;NA
215;2010;57;1.14;yes;Former East Germany;2 persons;2103;13-15 days;140.4343341
216;2009;82;1.31;NA;Former West Germany;2 persons;1555;NA;NA
217;2010;54;1.02;yes;Former West Germany;4 persons;2383;20-22 days;704.5624325
218;2007;30;1.4428;NA;Former West Germany;1 person;1917;9-12 days;6667.242738
219;1974;41;1.03;NA;NA;5+ persons;3105;NA;NA
220;2017;63;0.45;yes;Former West Germany;1 person;1416;6-8 days;570.063484
221;1997;37;0.75;NA;Former West Germany;5+ persons;2264;6-8 days;719.5371174
222;2008;73;0.8812;NA;Former West Germany;2 persons;1572;NA;NA
223;1985;55;0.684;NA;NA;2 persons;3442;13-15 days;100
224;2004;37;1.062;NA;Former West Germany;2 persons;2945;13-15 days;708.0480175
225;1979;32;1;NA;NA;2 persons;5664;20-22 days;681.9125351
226;1974;55;0.92;NA;NA;2 persons;2009;20-22 days;1212.388394
227;1977;42;0.76;NA;NA;2 persons;3003;NA;NA
228;2006;45;0.5585;NA;Former West Germany;2 persons;2841;6-8 days;100.35484
229;1995;47;0.157;NA;Former West Germany;2 persons;2691;13-15 days;235.8618612
230;1971;46;NA;NA;NA;3 persons;1989;13-15 days;741.9473922
231;2012;24;0.81;yes;Former East Germany;2 persons;2850;9-12 days;2077.083257
232;1971;70;NA;NA;NA;1 person;1591;20-22 days;870.3137267
233;2004;45;0.86;NA;Former West Germany;3 persons;2325;NA;NA
234;1998;72;1.48;NA;Former West Germany;2 persons;3241;6-8 days;1512.359232
235;2002;42;0.07;NA;Former East Germany;2 persons;3645;6-8 days;1337.541648
236;2010;16;2.19;yes;Former West Germany;3 persons;3645;13-15 days;792.6419103
237;1999;23;0.696;NA;Former West Germany;2 persons;2210;20-22 days;2237.88242
238;2007;27;1.4012;NA;Former East Germany;1 person;1032;NA;NA
239;2016;56;1.23;yes;Former West Germany;2 persons;4703;20-22 days;965.2835218
240;2017;59;2.22;yes;Former East Germany;3 persons;1416;6-8 days;255.813029
241;1990;32;0.65;NA;Former West Germany;2 persons;2798;NA;NA
242;1991;37;0.485;NA;Former West Germany;2 persons;3561;20-22 days;758.6469321
243;2006;43;0.7483;NA;Former East Germany;3 persons;2542;NA;NA
244;1992;49;0.741;NA;Former West Germany;2 persons;1783;13-15 days;593.0358385
245;1971;81;NA;NA;NA;1 person;884;NA;NA
246;1980;47;1;NA;NA;2 persons;2687;NA;NA
247;1981;76;0.331;NA;NA;1 person;938;NA;NA
248;1975;66;0.58;NA;NA;2 persons;7256;23-26 days;627.9537164
249;1991;48;0.295;NA;Former East Germany;2 persons;1885;NA;NA
250;1995;16;1.223;NA;Former East Germany;3 persons;3050;27-29 days;1099.577838
251;2016;60;1.31;yes;Former East Germany;3 persons;3919;13-15 days;2025.543006
252;2017;67;0.51;yes;Former West Germany;2 persons;3861;23-26 days;9444.151332
253;1971;72;NA;NA;NA;1 person;354;NA;NA
254;1974;35;0.9;NA;NA;2 persons;2740;13-15 days;1849.18562
255;1999;22;1.077;NA;Former West Germany;4 persons;3230;23-26 days;16088.93236
256;1972;38;NA;NA;NA;3 persons;2726;16-19 days;1658.101316
257;2005;82;1.2289;NA;Former West Germany;1 person;1668;NA;NA
258;1983;58;0.8;NA;NA;2 persons;2283;NA;NA
259;2012;34;0.71;yes;Former West Germany;4 persons;4071;13-15 days;1512.359232
260;1985;29;0.565;NA;NA;2 persons;2524;NA;NA
261;1984;57;1.198;NA;NA;4 persons;8421;27-29 days;9322.892268
262;2007;29;0.6099;NA;Former West Germany;2 persons;3097;13-15 days;7551.598159
263;2007;52;0.9912;NA;Former West Germany;2 persons;4424;16-19 days;7856.265477
264;2015;56;0.8;yes;Former West Germany;2 persons;1963;NA;NA
265;1986;53;0.789;NA;NA;2 persons;3389;16-19 days;393.382901
266;2018;49;0.72;yes;Former West Germany;1 person;3301;16-19 days;6467.935125
267;1982;22;0.44;NA;NA;2 persons;2763;5 days;462.9641663
268;1982;47;1.13;NA;NA;5+ persons;3266;NA;NA
269;2007;62;0.7412;NA;Former West Germany;1 person;1917;6-8 days;150
270;1995;49;0.396;NA;Former East Germany;2 persons;1704;NA;NA
271;1993;41;0.674;NA;Former West Germany;3 persons;3259;NA;NA
272;1981;73;0.092;NA;NA;1 person;2010;20-22 days;401.7081103
273;1976;74;0.44;NA;NA;1 person;2131;5 days;7686.701818
274;1985;18;1.264;NA;NA;2 persons;1491;NA;NA
275;1992;41;0.504;NA;Former East Germany;2 persons;4357;13-15 days;1238.175141
276;2008;50;0.783;NA;Former West Germany;2 persons;3716;20-22 days;9768.109178
277;2018;62;0.53;yes;Former West Germany;1 person;1904;13-15 days;501.3878591
278;2007;14;1.2628;NA;Former West Germany;4 persons;2212;13-15 days;1658.101316
279;1972;58;NA;NA;NA;2 persons;2306;NA;NA
280;1988;36;0.351;NA;NA;1 person;3389;16-19 days;719.5371174
281;2010;66;0.52;yes;Former West Germany;1 person;2103;9-12 days;1658.395853
282;2009;25;2.69;NA;Former West Germany;4 persons;4240;13-15 days;1486.886789
283;1980;17;1;NA;NA;3 persons;3111;NA;NA
284;2000;38;0.816;NA;Former West Germany;3 persons;5375;16-19 days;1391.414448
285;2006;40;0.8691;NA;Former West Germany;3 persons;1645;NA;NA
286;2004;46;0.258;NA;Former West Germany;1 person;9299;13-15 days;689.0881244
287;1994;61;0.494;NA;Former East Germany;1 person;1378;6-8 days;368.9936012
288;1975;38;0.58;NA;NA;5+ persons;2246;16-19 days;852.986198
289;2007;52;0.7179;NA;Former West Germany;2 persons;2802;27-29 days;634.5971157
290;1982;30;0.44;NA;NA;3 persons;2763;27-29 days;8123.141154
291;2002;41;1.02;NA;Former East Germany;2 persons;1743;13-15 days;219.0010191
292;2003;66;1.763;NA;Former East Germany;3 persons;3291;NA;NA
293;2014;35;1.45;no;Former West Germany;2 persons;3015;13-15 days;708.0480175
294;1990;39;0.388;NA;Former West Germany;2 persons;10329;NA;NA
295;2006;62;1.1886;NA;Former West Germany;2 persons;2542;13-15 days;3347.399568
296;1988;33;0.744;NA;NA;4 persons;3389;6-8 days;1840.842726
297;2003;53;0.665;NA;Former East Germany;4 persons;3291;13-15 days;1922.847898
298;2004;17;3.673;NA;Former East Germany;3 persons;2015;NA;NA
299;2002;48;0.6;NA;Former West Germany;1 person;3011;13-15 days;356.8372935
300;1986;28;0.769;NA;NA;2 persons;2937;13-15 days;168.2412991
301;1991;18;1.058;NA;Former West Germany;1 person;628;20-22 days;1922.615964
302;1996;40;1.5012;NA;Former West Germany;4 persons;3888;13-15 days;708.0480175
303;1984;60;0.61;NA;NA;2 persons;1287;13-15 days;1658.101316
304;2006;64;0.9786;NA;Former East Germany;2 persons;2243;13-15 days;421.1260106
305;2005;35;0.5524;NA;Former West Germany;4 persons;3184;13-15 days;1537.384329
306;1998;20;0.76;NA;Former West Germany;2 persons;2900;27-29 days;1676.688589
307;1989;24;1.641;NA;NA;4 persons;1996;NA;NA
308;1971;26;NA;NA;NA;2 persons;1989;NA;NA
309;1992;62;1.275;NA;Former West Germany;2 persons;2179;13-15 days;627.9537164
310;2011;51;0.65;yes;Former West Germany;2 persons;2629;9-12 days;100
311;2001;24;0.53;NA;Former West Germany;1 person;1070;27-29 days;403.8265116
312;1997;47;0.456;NA;Former West Germany;5+ persons;5572;6-8 days;274.9958928
313;2016;69;0.42;yes;Former East Germany;1 person;1437;27-29 days;4194.131681
314;1985;53;1.757;NA;NA;3 persons;1491;NA;NA
315;1983;63;0.602;NA;NA;2 persons;1562;6-8 days;251.7982971
316;1986;47;1.174;NA;NA;3 persons;2937;13-15 days;486.8392023
317;1984;65;0.66;NA;NA;2 persons;1754;NA;NA
318;1998;21;0.64;NA;Former West Germany;2 persons;1791;13-15 days;708.0480175
319;2007;39;1.5204;NA;Former West Germany;2 persons;2212;13-15 days;1840.842726
320;2002;73;1.51;NA;Former West Germany;2 persons;2377;NA;NA
321;1988;64;0.661;NA;NA;1 person;1130;20-22 days;183.7680339
322;1979;49;0.92;NA;NA;3 persons;3876;13-15 days;627.9537164
323;1976;69;0.67;NA;NA;1 person;918;NA;NA
324;2009;37;0.66;NA;Former West Germany;4 persons;2968;6-8 days;627.9537164
325;2013;73;0.54;yes;Former West Germany;1 person;1995;9-12 days;8123.141154
326;1976;20;1.11;NA;NA;4 persons;2786;NA;NA
327;1978;70;0.73;NA;NA;1 person;2598;NA;NA
328;2008;35;1.0698;NA;Former West Germany;1 person;1858;NA;NA
329;1983;23;1.168;NA;NA;1 person;841;9-12 days;634.5971157
330;1984;25;0.586;NA;NA;1 person;1754;16-19 days;852.986198
331;2018;28;1.03;no;Former West Germany;1 person;2158;13-15 days;2326.777227
332;1993;82;1.226;NA;Former West Germany;1 person;3259;30+ days;1165.520926
333;1980;37;1;NA;NA;2 persons;2121;NA;NA
334;1982;27;0.07;NA;NA;2 persons;3266;13-15 days;315.1822415
335;1991;51;0.909;NA;Former West Germany;2 persons;2304;13-15 days;7561.103966
336;1981;33;0.084;NA;NA;3 persons;2278;13-15 days;555.815404
337;1981;35;0.045;NA;NA;3 persons;2278;13-15 days;693.169574
338;2006;33;0.6808;NA;Former West Germany;2 persons;1645;6-8 days;1840.842726
339;1978;24;0.8;NA;NA;2 persons;2904;23-26 days;8018.124112
340;1981;82;0.142;NA;NA;1 person;1474;NA;NA
341;1973;32;NA;NA;NA;4 persons;2562;NA;NA
342;1982;40;0.66;NA;NA;2 persons;2763;13-15 days;627.9537164
343;1979;36;1.59;NA;NA;4 persons;3279;23-26 days;183.7680339
344;2003;58;1.008;NA;Former West Germany;2 persons;9403;13-15 days;1784.693181
345;1991;40;0.713;NA;Former East Germany;2 persons;1466;NA;NA
346;2018;35;1.14;yes;Former West Germany;2 persons;2158;13-15 days;801.3292216
347;2013;57;0.71;yes;Former West Germany;2 persons;1463;9-12 days;168.2412991
348;1982;58;0.79;NA;NA;2 persons;2763;NA;NA
349;1996;51;0.9934;NA;Former West Germany;2 persons;5655;30+ days;1288.450268
350;1988;31;0.298;NA;NA;2 persons;2485;6-8 days;293.8606802
351;1987;55;0.49;NA;NA;1 person;6846;16-19 days;1391.414448
352;1974;30;1.03;NA;NA;4 persons;2009;20-22 days;141.6763933
353;1989;55;1.034;NA;NA;2 persons;1996;NA;NA
354;1973;68;NA;NA;NA;1 person;1419;NA;NA
355;1995;43;2.433;NA;Former West Germany;5+ persons;10763;20-22 days;1512.359232
356;2009;40;0.82;NA;Former West Germany;4 persons;3250;NA;NA
357;1999;45;3.796;NA;Former East Germany;4 persons;5439;13-15 days;1679.231435
358;2018;37;0.44;yes;Former West Germany;3 persons;2412;6-8 days;255.3425797
359;2006;16;1.7707;NA;Former West Germany;5+ persons;5382;NA;NA
360;1978;57;0.76;NA;NA;2 persons;1987;13-15 days;531.3350849
361;2017;34;0.61;yes;Former West Germany;1 person;2188;13-15 days;1658.101316
362;1992;62;1.099;NA;Former West Germany;2 persons;2179;30+ days;7872.908344
363;2010;23;0.79;yes;Former East Germany;2 persons;2944;13-15 days;1104.648183
364;1995;72;1.237;NA;Former East Germany;1 person;987;6-8 days;440.8918423
365;2009;54;0.89;NA;Former West Germany;2 persons;1837;6-8 days;368.9936012
366;2018;83;0.94;yes;Former West Germany;1 person;1143;NA;NA
367;1979;69;0.6;NA;NA;1 person;2534;NA;NA
368;1972;45;NA;NA;NA;5+ persons;3145;NA;NA
369;1986;24;0.847;NA;NA;2 persons;1694;20-22 days;1240.701933
370;1995;52;0.795;NA;Former West Germany;2 persons;3947;20-22 days;1067.5218
